Lektionen~~~~~~~~
~~~~~~~~
Kurs-ID~Kurs-Titel~Lektions-ID~Lektions-Titel~Teaser~Bilddatei~Bildname Nachweis~Bildnachweis~Tag
~#NV~~~~~~~
10~Basics~10~Begrüßungen: Teil 1~x~EN_01_BASICS_01_HALLO_stock-photo-70082999-it-s-a-feel-good-kinda-day.jpg~Thema Hallo!~PeopleImages - iStockphoto~2
10~Basics~20~Begrüßungen: Teil 2~x~EN_01_BASICS_01_HALLO_stock-photo-70082999-it-s-a-feel-good-kinda-day.jpg~Thema Hallo!~PeopleImages - iStockphoto~2
10~Basics~30~Begrüßungen: Grammatik~x~EN_01_BASICS_01_HALLO_stock-photo-70082999-it-s-a-feel-good-kinda-day.jpg~Thema Hallo!~PeopleImages - iStockphoto~2
10~Basics~40~Begrüßungen: Wiederholung~x~EN_01_BASICS_01_HALLO_stock-photo-70082999-it-s-a-feel-good-kinda-day.jpg~Thema Hallo!~PeopleImages - iStockphoto~2
10~Basics~50~Small Talk: Teil 1~~EN_01_BASICS_02_SMALLTALK_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Small Talk~Izabela Habur - iStockphoto~3
10~Basics~60~Small Talk: Teil 2~~EN_01_BASICS_02_SMALLTALK_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Small Talk~Izabela Habur - iStockphoto~3
10~Basics~70~Small Talk: Teil 3~~EN_01_BASICS_02_SMALLTALK_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Small Talk~Izabela Habur - iStockphoto~3
10~Basics~80~Small Talk: Grammatik~~EN_01_BASICS_02_SMALLTALK_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Small Talk~Izabela Habur - iStockphoto~3
10~Basics~90~Small Talk: Wiederholung~~EN_01_BASICS_02_SMALLTALK_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Small Talk~Izabela Habur - iStockphoto~3
10~Basics~100~Wie geht's? Teil 1~~EN_01_BASICS_03_WIEGEHTS_iStock_000060027894_XXXLarge.jpg~Thema Wie geht's?~Geber86 - iStockphoto~4
10~Basics~110~Wie geht's? Teil 2~~EN_01_BASICS_03_WIEGEHTS_iStock_000060027894_XXXLarge.jpg~Thema Wie geht's?~Geber86 - iStockphoto~4
10~Basics~120~Wie geht's? Teil 3~~EN_01_BASICS_03_WIEGEHTS_iStock_000060027894_XXXLarge.jpg~Thema Wie geht's?~Geber86 - iStockphoto~4
10~Basics~130~Wie geht's? Teil 4~~EN_01_BASICS_03_WIEGEHTS_iStock_000060027894_XXXLarge.jpg~Thema Wie geht's?~Geber86 - iStockphoto~4
10~Basics~140~Wie geht's? Grammatik~~EN_01_BASICS_03_WIEGEHTS_iStock_000060027894_XXXLarge.jpg~Thema Wie geht's?~Geber86 - iStockphoto~4
10~Basics~150~Wie geht's? Wiederholung~~EN_01_BASICS_03_WIEGEHTS_iStock_000060027894_XXXLarge.jpg~Thema Wie geht's?~Geber86 - iStockphoto~4
10~Basics~160~Im Pub: Teil 1~~EN_01_BASICS_04_PUB_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Im Pub~Izabela Habur - iStockphoto~5
10~Basics~170~Im Pub: Teil 2~~EN_01_BASICS_04_PUB_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Im Pub~Izabela Habur - iStockphoto~5
10~Basics~180~Im Pub: Grammatik ~~EN_01_BASICS_04_PUB_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Im Pub~Izabela Habur - iStockphoto~5
10~Basics~190~Im Pub: Wiederholung~~EN_01_BASICS_04_PUB_stock-photo-40093220-just-chilling-together-before-class.jpg~Thema Im Pub~Izabela Habur - iStockphoto~5
10~Basics~200~Basics: Kurs-Wiederholung~~EN_11_TEST.jpg~Test~Pashalgnatov - iStockphoto~
~#NV~~~~~~~
20~Aufbaukurs für jeden Tag~210~Einkaufen: Teil 1~x~EN_02_TAG_01_SHOPPING_stock-photo-32591158-pretty-young-woman-shopping-for-fruits-and-vegetables.jpg~Thema Einkaufen~ViktorCap - iStockphoto~7
20~Aufbaukurs für jeden Tag~220~Einkaufen: Teil 2~x~EN_02_TAG_01_SHOPPING_stock-photo-32591158-pretty-young-woman-shopping-for-fruits-and-vegetables.jpg~Thema Einkaufen~ViktorCap - iStockphoto~7
20~Aufbaukurs für jeden Tag~230~Einkaufen: Grammatik~x~EN_02_TAG_01_SHOPPING_stock-photo-32591158-pretty-young-woman-shopping-for-fruits-and-vegetables.jpg~Thema Einkaufen~ViktorCap - iStockphoto~7
20~Aufbaukurs für jeden Tag~240~Einkaufen: Wiederholung~x~EN_02_TAG_01_SHOPPING_stock-photo-32591158-pretty-young-woman-shopping-for-fruits-and-vegetables.jpg~Thema Einkaufen~ViktorCap - iStockphoto~7
20~Aufbaukurs für jeden Tag~250~Im Restaurant: Teil 1~~EN_02_TAG_02_RESTAURANT_stock-photo-67748323-group-of-friends-eating-at-a-restaurant.jpg~Thema Im Restaurant~monkeybusinessimages - iStockphoto~8
20~Aufbaukurs für jeden Tag~260~Im Restaurant: Teil 2~~EN_02_TAG_02_RESTAURANT_stock-photo-67748323-group-of-friends-eating-at-a-restaurant.jpg~Thema Im Restaurant~monkeybusinessimages - iStockphoto~8
20~Aufbaukurs für jeden Tag~270~Im Restaurant: Teil 3~~EN_02_TAG_02_RESTAURANT_stock-photo-67748323-group-of-friends-eating-at-a-restaurant.jpg~Thema Im Restaurant~monkeybusinessimages - iStockphoto~8
20~Aufbaukurs für jeden Tag~280~Im Restaurant: Grammatik~~EN_02_TAG_02_RESTAURANT_stock-photo-67748323-group-of-friends-eating-at-a-restaurant.jpg~Thema Im Restaurant~monkeybusinessimages - iStockphoto~8
20~Aufbaukurs für jeden Tag~290~Im Restaurant: Wiederholung~~EN_02_TAG_02_RESTAURANT_stock-photo-67748323-group-of-friends-eating-at-a-restaurant.jpg~Thema Im Restaurant~monkeybusinessimages - iStockphoto~8
20~Aufbaukurs für jeden Tag~300~Sightseeing: Teil 1~~EN_02_TAG_03_SIGHTS_stock-photo-41129870-happiness-woman-traveling-in-london.jpg~Thema Sightseeing~franckreporter - iStockphoto~9
